value,source,target,sex,year
.2733907,"Other road injuries","Injury to eyes (including foreign body eye)","male",2013
.0045747,"Other road injuries","Non-fatal submersion","male",2013
.2815884,"Other road injuries","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","male",2013
2.372943,"Other road injuries","Other injuries of muscle & tendon and other dislocations","male",2013
4.295148,"Other road injuries","Spinal cord lesion below neck level","male",2013
2.655748,"Other road injuries","Fracture of hand bone","male",2013
3.293196,"Other road injuries","Contusion","male",2013
11.26379,"Other road injuries","Fracture of radius or ulna","male",2013
8.158386,"Other road injuries","Open wound","male",2013
2.130735,"Other road injuries","Fracture of clavicle, scapula, or humerus","male",2013
.0639841,"Other road injuries","Dislocation of knee","male",2013
296.2772,"Cyclist road injuries","Open wound","male",2013
450.2342,"Cyclist road injuries","Fracture of patella, tibia, fibula, or ankle","male",2013
8.809775,"Cyclist road injuries","Fracture of foot bone","male",2013
19.6452,"Cyclist road injuries","Fracture of skull","male",2013
119.5609,"Cyclist road injuries","Moderate to severe traumatic brain injury","male",2013
5.012677,"Cyclist road injuries","Injured nerves","male",2013
.5032793,"Cyclist road injuries","Environmental factors (e.g. temperature, pressure, electricity)","male",2013
7.573514,"Cyclist road injuries","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","male",2013
28.94455,"Cyclist road injuries","Contusion","male",2013
.9671841,"Cyclist road injuries","Burns with <20% total burned surface area","male",2013
224.1873,"Cyclist road injuries","Fracture of neck of femur","male",2013
.5674729,"Cyclist road injuries","Dislocation of knee","male",2013
9.58717,"Cyclist road injuries","Fracture of sternum or rib(s)","male",2013
36.96071,"Cyclist road injuries","Minor traumatic brain injury","male",2013
9.676684,"Cyclist road injuries","Spinal cord lesion below neck level","male",2013
51.59917,"Cyclist road injuries","Fracture of femur, other than femoral neck","male",2013
22.78131,"Cyclist road injuries","Internal hemorrhage in abdomen or pelvis","male",2013
42.15932,"Cyclist road injuries","Spinal cord lesion at neck level","male",2013
3.436792,"Cyclist road injuries","Fracture of face bone","male",2013
9.716567,"Cyclist road injuries","Fracture of clavicle, scapula, or humerus","male",2013
272.4012,"Cyclist road injuries","Fracture of vertebral column","male",2013
71.90871,"Cyclist road injuries","Fracture of radius or ulna","male",2013
36.20901,"Cyclist road injuries","Dislocation of shoulder","male",2013
11.50932,"Cyclist road injuries","Other injuries of muscle & tendon and other dislocations","male",2013
2.926177,"Cyclist road injuries","Crush injury","male",2013
25.4478,"Cyclist road injuries","Fracture of pelvis","male",2013
1.909752,"Cyclist road injuries","Injury to eyes (including foreign body eye)","male",2013
.0404637,"Cyclist road injuries","Non-fatal submersion","male",2013
38.695,"Cyclist road injuries","Fracture of hand bone","male",2013
5.118514,"Cyclist road injuries","Severe chest Injury","male",2013
21.63811,"Cyclist road injuries","Complications of medical treatment","male",2013
1.120636,"Cyclist road injuries","Poisoning","male",2013
156.742,"Cyclist road injuries","Multiple significant injuries","male",2013
2.375199,"Cyclist road injuries","Dislocation of hip","male",2013
.1856709,"Cyclist road injuries","Amputation of finger (excluding thumb)","male",2013
5.27228,"Pedestrian road injuries by road vehicle","Environmental factors (e.g. temperature, pressure, electricity)","male",2013
12.09675,"Pedestrian road injuries by road vehicle","Crush injury","male",2013
108.026,"Pedestrian road injuries by road vehicle","Fracture of pelvis","male",2013
42.69453,"Pedestrian road injuries by road vehicle","Other injuries of muscle & tendon and other dislocations","male",2013
6.823198,"Pedestrian road injuries by road vehicle","Severe chest Injury","male",2013
11.77576,"Pedestrian road injuries by road vehicle","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","male",2013
11.86889,"Pedestrian road injuries by road vehicle","Dislocation of hip","male",2013
69.72491,"Pedestrian road injuries by road vehicle","Spinal cord lesion at neck level","male",2013
251.8123,"Pedestrian road injuries by road vehicle","Complications of medical treatment","male",2013
2.437279,"Pedestrian road injuries by road vehicle","Fracture of sternum or rib(s)","male",2013
38.2527,"Pedestrian road injuries by road vehicle","Dislocation of shoulder","male",2013
3.205796,"Pedestrian road injuries by road vehicle","Dislocation of knee","male",2013
242.6615,"Pedestrian road injuries by road vehicle","Fracture of vertebral column","male",2013
22.68712,"Pedestrian road injuries by road vehicle","Injured nerves","male",2013
52.05605,"Pedestrian road injuries by road vehicle","Minor traumatic brain injury","male",2013
234.0077,"Pedestrian road injuries by road vehicle","Open wound","male",2013
27.99059,"Pedestrian road injuries by road vehicle","Spinal cord lesion below neck level","male",2013
6.526773,"Pedestrian road injuries by road vehicle","Injury to eyes (including foreign body eye)","male",2013
31.68594,"Pedestrian road injuries by road vehicle","Fracture of hand bone","male",2013
10.71005,"Pedestrian road injuries by road vehicle","Poisoning","male",2013
284.9608,"Pedestrian road injuries by road vehicle","Fracture of femur, other than femoral neck","male",2013
917.6449,"Pedestrian road injuries by road vehicle","Fracture of patella, tibia, fibula, or ankle","male",2013
1214.494,"Pedestrian road injuries by road vehicle","Multiple significant injuries","male",2013
176.561,"Pedestrian road injuries by road vehicle","Internal hemorrhage in abdomen or pelvis","male",2013
26.67201,"Pedestrian road injuries by road vehicle","Fracture of radius or ulna","male",2013
44.45277,"Pedestrian road injuries by road vehicle","Fracture of foot bone","male",2013
369.5696,"Pedestrian road injuries by road vehicle","Fracture of neck of femur","male",2013
134.6934,"Pedestrian road injuries by road vehicle","Fracture of skull","male",2013
9.526175,"Pedestrian road injuries by road vehicle","Burns with <20% total burned surface area","male",2013
61.89147,"Pedestrian road injuries by road vehicle","Contusion","male",2013
328.0193,"Pedestrian road injuries by road vehicle","Moderate to severe traumatic brain injury","male",2013
.2264578,"Pedestrian road injuries by road vehicle","Non-fatal submersion","male",2013
.1797158,"Pedestrian road injuries by road vehicle","Amputation of finger (excluding thumb)","male",2013
14.2686,"Pedestrian road injuries by road vehicle","Fracture of clavicle, scapula, or humerus","male",2013
6.108435,"Pedestrian road injuries by road vehicle","Fracture of face bone","male",2013
2.916757,"Non-venomous animal contact","Fracture of skull","female",2010
.2468979,"Non-venomous animal contact","Fracture of sternum or rib(s)","female",2010
2.472902,"Non-venomous animal contact","Fracture of radius or ulna","female",2010
44.09005,"Non-venomous animal contact","Fracture of patella, tibia, fibula, or ankle","female",2010
.6964955,"Non-venomous animal contact","Burns with <20% total burned surface area","female",2010
19.24073,"Non-venomous animal contact","Multiple significant injuries","female",2010
.6217643,"Non-venomous animal contact","Environmental factors (e.g. temperature, pressure, electricity)","female",2010
.6934562,"Non-venomous animal contact","Fracture of face bone","female",2010
.8070549,"Non-venomous animal contact","Fracture of clavicle, scapula, or humerus","female",2010
11.95846,"Non-venomous animal contact","Injury to eyes (including foreign body eye)","female",2010
5.881354,"Non-venomous animal contact","Fracture of vertebral column","female",2010
9.919703,"Non-venomous animal contact","Fracture of femur, other than femoral neck","female",2010
6.268949,"Non-venomous animal contact","Fracture of neck of femur","female",2010
11.99633,"Non-venomous animal contact","Moderate to severe traumatic brain injury","female",2010
1.452735,"Non-venomous animal contact","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","female",2010
23.81864,"Non-venomous animal contact","Internal hemorrhage in abdomen or pelvis","female",2010
36.10759,"Non-venomous animal contact","Poisoning","female",2010
1.648867,"Non-venomous animal contact","Crush injury","female",2010
.9219046,"Non-venomous animal contact","Spinal cord lesion at neck level","female",2010
.1530353,"Non-venomous animal contact","Spinal cord lesion below neck level","female",2010
.6661208,"Non-venomous animal contact","Severe chest Injury","female",2010
4.267169,"Non-venomous animal contact","Other injuries of muscle & tendon and other dislocations","female",2010
4.665885,"Non-venomous animal contact","Minor traumatic brain injury","female",2010
.052676,"Non-venomous animal contact","Non-fatal submersion","female",2010
16.29622,"Non-venomous animal contact","Contusion","female",2010
4.503469,"Non-venomous animal contact","Injured nerves","female",2010
1.731807,"Non-venomous animal contact","Dislocation of knee","female",2010
1276.757,"Non-venomous animal contact","Open wound","female",2010
1.2211,"Non-venomous animal contact","Dislocation of hip","female",2010
12.24591,"Non-venomous animal contact","Complications of medical treatment","female",2010
2.008222,"Non-venomous animal contact","Fracture of pelvis","female",2010
6.5282,"Non-venomous animal contact","Dislocation of shoulder","female",2010
9.389143,"Non-venomous animal contact","Fracture of hand bone","female",2010
3.726656,"Non-venomous animal contact","Fracture of foot bone","female",2010
.0857218,"Non-venomous animal contact","Amputation of finger (excluding thumb)","female",2010
.6762288,"Venomous animal contact","Fracture of vertebral column","female",2010
.2296873,"Venomous animal contact","Severe chest Injury","female",2010
2.360161,"Venomous animal contact","Fracture of hand bone","female",2010
5.231656,"Venomous animal contact","Dislocation of shoulder","female",2010
1.067556,"Venomous animal contact","Fracture of radius or ulna","female",2010
1.286614,"Venomous animal contact","Minor traumatic brain injury","female",2010
.337548,"Venomous animal contact","Dislocation of hip","female",2010
.1423283,"Venomous animal contact","Dislocation of knee","female",2010
2.635006,"Venomous animal contact","Fracture of femur, other than femoral neck","female",2010
.9537039,"Venomous animal contact","Spinal cord lesion at neck level","female",2010
5.054365,"Venomous animal contact","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","female",2010
.5475155,"Venomous animal contact","Fracture of skull","female",2010
.0042271,"Venomous animal contact","Fracture of sternum or rib(s)","female",2010
1.068241,"Venomous animal contact","Fracture of foot bone","female",2010
4.126549,"Venomous animal contact","Fracture of pelvis","female",2010
39.30246,"Venomous animal contact","Open wound","female",2010
8.051712,"Venomous animal contact","Fracture of neck of femur","female",2010
1.640911,"Venomous animal contact","Other injuries of muscle & tendon and other dislocations","female",2010
12.95777,"Venomous animal contact","Fracture of patella, tibia, fibula, or ankle","female",2010
28.20074,"Venomous animal contact","Multiple significant injuries","female",2010
.6181946,"Venomous animal contact","Fracture of clavicle, scapula, or humerus","female",2010
1.0189,"Venomous animal contact","Contusion","female",2010
1.012865,"Venomous animal contact","Injured nerves","female",2010
26.97967,"Venomous animal contact","Internal hemorrhage in abdomen or pelvis","female",2010
.4081219,"Venomous animal contact","Injury to eyes (including foreign body eye)","female",2010
3.34694,"Venomous animal contact","Moderate to severe traumatic brain injury","female",2010
1.347939,"Venomous animal contact","Environmental factors (e.g. temperature, pressure, electricity)","female",2010
34.11642,"Venomous animal contact","Complications of medical treatment","female",2010
.1761401,"Venomous animal contact","Fracture of face bone","female",2010
.1482,"Venomous animal contact","Non-fatal submersion","female",2010
2.114211,"Venomous animal contact","Burns with <20% total burned surface area","female",2010
.3675126,"Venomous animal contact","Crush injury","female",2010
.7005072,"Venomous animal contact","Spinal cord lesion below neck level","female",2010
649.5952,"Venomous animal contact","Poisoning","female",2010
1.026928,"Venomous animal contact","Amputation of finger (excluding thumb)","female",2010
.0727696,"Drowning","Fracture of sternum or rib(s)","female",2010
2.654902,"Drowning","Fracture of radius or ulna","female",2010
18.63264,"Drowning","Dislocation of shoulder","female",2010
1.08966,"Drowning","Crush injury","female",2010
9.402451,"Drowning","Other injuries of muscle & tendon and other dislocations","female",2010
2.257871,"Drowning","Dislocation of hip","female",2010
.0755099,"Drowning","Fracture of skull","female",2010
1.123014,"Drowning","Contusion","female",2010
.0320293,"Drowning","Amputation of finger (excluding thumb)","female",2010
.8906094,"Drowning","Dislocation of knee","female",2010
74.1427,"Drowning","Complications of medical treatment","female",2010
208.6033,"Drowning","Fracture of neck of femur","female",2010
.3449108,"Drowning","Severe chest Injury","female",2010
26.24217,"Drowning","Multiple significant injuries","female",2010
2.724323,"Drowning","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","female",2010
4.009928,"Drowning","Fracture of vertebral column","female",2010
94.31117,"Drowning","Environmental factors (e.g. temperature, pressure, electricity)","female",2010
.4050604,"Drowning","Injury to eyes (including foreign body eye)","female",2010
16.80262,"Drowning","Moderate to severe traumatic brain injury","female",2010
4.337495,"Drowning","Fracture of hand bone","female",2010
7.726496,"Drowning","Open wound","female",2010
7.991864,"Drowning","Spinal cord lesion below neck level","female",2010
3.729856,"Drowning","Minor traumatic brain injury","female",2010
8.821771,"Drowning","Fracture of foot bone","female",2010
93.69636,"Drowning","Fracture of patella, tibia, fibula, or ankle","female",2010
4.348752,"Drowning","Fracture of clavicle, scapula, or humerus","female",2010
8.466538,"Drowning","Internal hemorrhage in abdomen or pelvis","female",2010
73.83937,"Drowning","Non-fatal submersion","female",2010
29.60278,"Drowning","Fracture of femur, other than femoral neck","female",2010
.4897704,"Drowning","Fracture of face bone","female",2010
11.04773,"Drowning","Poisoning","female",2010
6.948997,"Drowning","Injured nerves","female",2010
8.980069,"Drowning","Fracture of pelvis","female",2010
3.275671,"Drowning","Burns with <20% total burned surface area","female",2010
10.3947,"Drowning","Spinal cord lesion at neck level","female",2010
143.6896,"Falls","Fracture of skull","female",2010
.2276711,"Falls","Amputation of finger (excluding thumb)","female",2010
9.947595,"Falls","Fracture of face bone","female",2010
999.2557,"Falls","Multiple significant injuries","female",2010
761.7836,"Falls","Moderate to severe traumatic brain injury","female",2010
17.03973,"Falls","Burns with <20% total burned surface area","female",2010
21.0634,"Falls","Severe chest Injury","female",2010
36.10292,"Falls","Poisoning","female",2010
184.7128,"Falls","Dislocation of shoulder","female",2010
1341.05,"Falls","Fracture of neck of femur","female",2010
229.1061,"Falls","Contusion","female",2010
2883.393,"Falls","Fracture of patella, tibia, fibula, or ankle","female",2010
129.2208,"Falls","Fracture of foot bone","female",2010
455.6783,"Falls","Complications of medical treatment","female",2010
33.94176,"Falls","Dislocation of hip","female",2010
9.23389,"Falls","Environmental factors (e.g. temperature, pressure, electricity)","female",2010
96.90663,"Falls","Fracture of clavicle, scapula, or humerus","female",2010
12.5286,"Falls","Injury to eyes (including foreign body eye)","female",2010
80.07317,"Falls","Injured nerves","female",2010
109.3076,"Falls","Internal hemorrhage in abdomen or pelvis","female",2010
154.2477,"Falls","Fracture of pelvis","female",2010
10.55624,"Falls","Fracture of sternum or rib(s)","female",2010
149.3041,"Falls","Other injuries of muscle & tendon and other dislocations","female",2010
153.4824,"Falls","Spinal cord lesion at neck level","female",2010
1.562586,"Falls","Non-fatal submersion","female",2010
22.6134,"Falls","Crush injury","female",2010
22.59906,"Falls","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","female",2010
170.5939,"Falls","Fracture of hand bone","female",2010
720.4404,"Falls","Fracture of vertebral column","female",2010
100.7611,"Falls","Minor traumatic brain injury","female",2010
667.1234,"Falls","Fracture of radius or ulna","female",2010
953.9172,"Falls","Open wound","female",2010
553.6569,"Falls","Fracture of femur, other than femoral neck","female",2010
15.34335,"Falls","Dislocation of knee","female",2010
155.261,"Falls","Spinal cord lesion below neck level","female",2010
33.44989,"Fire, heat, and hot substances","Moderate to severe traumatic brain injury","female",2010
.2100284,"Fire, heat, and hot substances","Fracture of sternum or rib(s)","female",2010
4.393056,"Fire, heat, and hot substances","Dislocation of hip","female",2010
1.89774,"Fire, heat, and hot substances","Fracture of face bone","female",2010
419.2373,"Fire, heat, and hot substances","Internal hemorrhage in abdomen or pelvis","female",2010
5.016534,"Fire, heat, and hot substances","Injury to eyes (including foreign body eye)","female",2010
70.52121,"Fire, heat, and hot substances","Environmental factors (e.g. temperature, pressure, electricity)","female",2010
9.372585,"Fire, heat, and hot substances","Minor traumatic brain injury","female",2010
626.0638,"Fire, heat, and hot substances","Burns with <20% total burned surface area","female",2010
198.4092,"Fire, heat, and hot substances","Poisoning","female",2010
88.90769,"Fire, heat, and hot substances","Fracture of patella, tibia, fibula, or ankle","female",2010
2.563298,"Fire, heat, and hot substances","Fracture of skull","female",2010
66.74076,"Fire, heat, and hot substances","Fracture of neck of femur","female",2010
35.47216,"Fire, heat, and hot substances","Dislocation of shoulder","female",2010
4.752496,"Fire, heat, and hot substances","Crush injury","female",2010
.5048742,"Fire, heat, and hot substances","Non-fatal submersion","female",2010
214.8615,"Fire, heat, and hot substances","Complications of medical treatment","female",2010
22.55321,"Fire, heat, and hot substances","Fracture of vertebral column","female",2010
8.469062,"Fire, heat, and hot substances","Injured nerves","female",2010
35.77904,"Fire, heat, and hot substances","Fracture of femur, other than femoral neck","female",2010
15.14581,"Fire, heat, and hot substances","Other injuries of muscle & tendon and other dislocations","female",2010
1.536708,"Fire, heat, and hot substances","Severe chest Injury","female",2010
15.61079,"Fire, heat, and hot substances","Fracture of pelvis","female",2010
.182111,"Fire, heat, and hot substances","Amputation of finger (excluding thumb)","female",2010
3.107904,"Fire, heat, and hot substances","Fracture of clavicle, scapula, or humerus","female",2010
12.40231,"Fire, heat, and hot substances","Contusion","female",2010
84.49787,"Fire, heat, and hot substances","Open wound","female",2010
6.305387,"Fire, heat, and hot substances","Spinal cord lesion at neck level","female",2010
11.24837,"Fire, heat, and hot substances","Fracture of foot bone","female",2010
4.060422,"Fire, heat, and hot substances","Spinal cord lesion below neck level","female",2010
5.987386,"Fire, heat, and hot substances","Fracture of radius or ulna","female",2010
12.81727,"Fire, heat, and hot substances","Fracture of hand bone","female",2010
.8268761,"Fire, heat, and hot substances","Dislocation of knee","female",2010
82.07924,"Fire, heat, and hot substances","Multiple significant injuries","female",2010
1105.466,"Fire, heat, and hot substances","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","female",2010
.2495679,"Pulmonary aspiration and foreign body in airway","Environmental factors (e.g. temperature, pressure, electricity)","female",2010
.1372455,"Pulmonary aspiration and foreign body in airway","Injury to eyes (including foreign body eye)","female",2010
8.448249,"Pulmonary aspiration and foreign body in airway","Complications of medical treatment","female",2010
.5841859,"Pulmonary aspiration and foreign body in airway","Fracture of vertebral column","female",2010
.1955971,"Pulmonary aspiration and foreign body in airway","Injured nerves","female",2010
.9242699,"Pulmonary aspiration and foreign body in airway","Internal hemorrhage in abdomen or pelvis","female",2010
.178374,"Pulmonary aspiration and foreign body in airway","Burns with <20% total burned surface area","female",2010
6.993389,"Pulmonary aspiration and foreign body in airway","Poisoning","female",2010
.253282,"Pulmonary aspiration and foreign body in airway","Fracture of pelvis","female",2010
1.451366,"Pulmonary aspiration and foreign body in airway","Other injuries of muscle & tendon and other dislocations","female",2010
.337249,"Pulmonary aspiration and foreign body in airway","Open wound","female",2010
1.213714,"Pulmonary aspiration and foreign body in airway","Spinal cord lesion at neck level","female",2010
.1845551,"Pulmonary aspiration and foreign body in airway","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","female",2010
3.21489,"Pulmonary aspiration and foreign body in airway","Fracture of patella, tibia, fibula, or ankle","female",2010
.0264648,"Pulmonary aspiration and foreign body in airway","Dislocation of hip","female",2010
.4988969,"Pulmonary aspiration and foreign body in airway","Fracture of foot bone","female",2010
.3506397,"Pulmonary aspiration and foreign body in airway","Minor traumatic brain injury","female",2010
.1471039,"Pulmonary aspiration and foreign body in airway","Spinal cord lesion below neck level","female",2010
2.649367,"Pulmonary aspiration and foreign body in airway","Multiple significant injuries","female",2010
.28914,"Pulmonary aspiration and foreign body in airway","Non-fatal submersion","female",2010
.0167435,"Pulmonary aspiration and foreign body in airway","Fracture of sternum or rib(s)","female",2010
15.33552,"Pulmonary aspiration and foreign body in airway","Fracture of neck of femur","female",2010
.2899597,"Pulmonary aspiration and foreign body in airway","Fracture of hand bone","female",2010
.298054,"Pulmonary aspiration and foreign body in airway","Fracture of radius or ulna","female",2010
.5329089,"Pulmonary aspiration and foreign body in airway","Moderate to severe traumatic brain injury","female",2010
.0610461,"Pulmonary aspiration and foreign body in airway","Fracture of skull","female",2010
.1452636,"Pulmonary aspiration and foreign body in airway","Fracture of clavicle, scapula, or humerus","female",2010
1.176508,"Pulmonary aspiration and foreign body in airway","Fracture of femur, other than femoral neck","female",2010
.0391636,"Pulmonary aspiration and foreign body in airway","Fracture of face bone","female",2010
.3519146,"Pulmonary aspiration and foreign body in airway","Severe chest Injury","female",2010
2.701718,"Pulmonary aspiration and foreign body in airway","Dislocation of shoulder","female",2010
.0703039,"Pulmonary aspiration and foreign body in airway","Contusion","female",2010
.1382356,"Pulmonary aspiration and foreign body in airway","Dislocation of knee","female",2010
.0324196,"Pulmonary aspiration and foreign body in airway","Crush injury","female",2010
.2303399,"Foreign body in eyes","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","female",2010
.2313522,"Foreign body in eyes","Multiple significant injuries","female",2010
.1563787,"Foreign body in eyes","Burns with <20% total burned surface area","female",2010
.0098644,"Foreign body in eyes","Severe chest Injury","female",2010
.0499771,"Foreign body in eyes","Fracture of radius or ulna","female",2010
.0921771,"Foreign body in eyes","Dislocation of shoulder","female",2010
8.74662,"Foreign body in eyes","Injury to eyes (including foreign body eye)","female",2010
.1031565,"Foreign body in eyes","Fracture of hand bone","female",2010
.099747,"Foreign body in eyes","Crush injury","female",2010
.5344718,"Foreign body in eyes","Contusion","female",2010
.0302188,"Foreign body in eyes","Fracture of face bone","female",2010
.7074131,"Foreign body in eyes","Poisoning","female",2010
1.025246,"Foreign body in eyes","Fracture of patella, tibia, fibula, or ankle","female",2010
.5825517,"Foreign body in eyes","Spinal cord lesion at neck level","female",2010
.0045168,"Foreign body in eyes","Fracture of sternum or rib(s)","female",2010
.7757974,"Foreign body in eyes","Moderate to severe traumatic brain injury","female",2010
.0134927,"Foreign body in eyes","Fracture of clavicle, scapula, or humerus","female",2010
2.694318,"Foreign body in eyes","Fracture of neck of femur","female",2010
.7005678,"Foreign body in eyes","Injured nerves","female",2010
.3550799,"Foreign body in eyes","Fracture of foot bone","female",2010
.3143027,"Foreign body in eyes","Fracture of pelvis","female",2010
.0519058,"Foreign body in eyes","Dislocation of knee","female",2010
6.896841,"Foreign body in eyes","Internal hemorrhage in abdomen or pelvis","female",2010
.3532766,"Foreign body in eyes","Minor traumatic brain injury","female",2010
4.47679,"Foreign body in eyes","Spinal cord lesion below neck level","female",2010
.5084087,"Foreign body in eyes","Fracture of femur, other than femoral neck","female",2010
.0176139,"Foreign body in eyes","Dislocation of hip","female",2010
.0893171,"Foreign body in eyes","Environmental factors (e.g. temperature, pressure, electricity)","female",2010
42.17968,"Foreign body in eyes","Complications of medical treatment","female",2010
.2925055,"Foreign body in eyes","Fracture of vertebral column","female",2010
.2418594,"Foreign body in eyes","Other injuries of muscle & tendon and other dislocations","female",2010
.2949921,"Foreign body in eyes","Fracture of skull","female",2010
2.592333,"Foreign body in eyes","Open wound","female",2010
.2565869,"Foreign body in other body part","Environmental factors (e.g. temperature, pressure, electricity)","female",2010
.0016792,"Foreign body in other body part","Fracture of sternum or rib(s)","female",2010
35.29479,"Foreign body in other body part","Internal hemorrhage in abdomen or pelvis","female",2010
.0394117,"Foreign body in other body part","Dislocation of hip","female",2010
.2371016,"Foreign body in other body part","Fracture of pelvis","female",2010
.3705625,"Foreign body in other body part","Fracture of femur, other than femoral neck","female",2010
.1668065,"Foreign body in other body part","Dislocation of shoulder","female",2010
1.248017,"Foreign body in other body part","Fracture of hand bone","female",2010
.0521327,"Foreign body in other body part","Fracture of face bone","female",2010
.5685203,"Foreign body in other body part","Moderate to severe traumatic brain injury","female",2010
.493729,"Foreign body in other body part","Burns with <20% total burned surface area","female",2010
.7158402,"Foreign body in other body part","Severe chest Injury","female",2010
1.212905,"Foreign body in other body part","Fracture of vertebral column","female",2010
.2843146,"Foreign body in other body part","Spinal cord lesion at neck level","female",2010
1.922236,"Foreign body in other body part","Multiple significant injuries","female",2010
.0068809,"Foreign body in other body part","Dislocation of knee","female",2010
.0901096,"Foreign body in other body part","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","female",2010
.0614485,"Foreign body in other body part","Amputation of finger (excluding thumb)","female",2010
61.6312,"Foreign body in other body part","Poisoning","female",2010
.2794357,"Foreign body in other body part","Fracture of foot bone","female",2010
.0167977,"Foreign body in other body part","Fracture of clavicle, scapula, or humerus","female",2010
15.52174,"Foreign body in other body part","Fracture of neck of femur","female",2010
14.65093,"Foreign body in other body part","Injury to eyes (including foreign body eye)","female",2010
1.664056,"Foreign body in other body part","Other injuries of muscle & tendon and other dislocations","female",2010
.7520381,"Foreign body in other body part","Spinal cord lesion below neck level","female",2010
.2549577,"Foreign body in other body part","Fracture of radius or ulna","female",2010
2.002289,"Foreign body in other body part","Injured nerves","female",2010
5.64835,"Foreign body in other body part","Contusion","female",2010
.8608951,"Foreign body in other body part","Fracture of skull","female",2010
1.414523,"Foreign body in other body part","Fracture of patella, tibia, fibula, or ankle","female",2010
.0113456,"Foreign body in other body part","Non-fatal submersion","female",2010
.0158575,"Foreign body in other body part","Crush injury","female",2010
.2783928,"Foreign body in other body part","Minor traumatic brain injury","female",2010
19.78854,"Foreign body in other body part","Complications of medical treatment","female",2010
92.9095,"Foreign body in other body part","Open wound","female",2010
3.959373,"Assault by firearm","Fracture of pelvis","female",2010
.1124525,"Assault by firearm","Dislocation of shoulder","female",2010
.0418978,"Assault by firearm","Amputation of finger (excluding thumb)","female",2010
.1390555,"Assault by firearm","Environmental factors (e.g. temperature, pressure, electricity)","female",2010
12.12279,"Assault by firearm","Fracture of vertebral column","female",2010
9.96335,"Assault by firearm","Spinal cord lesion below neck level","female",2010
.0352685,"Assault by firearm","Dislocation of knee","female",2010
.0029655,"Assault by firearm","Fracture of sternum or rib(s)","female",2010
.0506915,"Assault by firearm","Dislocation of hip","female",2010
3.801504,"Assault by firearm","Multiple significant injuries","female",2010
1.206233,"Assault by firearm","Minor traumatic brain injury","female",2010
.4174808,"Assault by firearm","Other injuries of muscle & tendon and other dislocations","female",2010
.8624871,"Assault by firearm","Fracture of foot bone","female",2010
.4140646,"Assault by firearm","Fracture of radius or ulna","female",2010
2.980919,"Assault by firearm","Complications of medical treatment","female",2010
4.506968,"Assault by firearm","Spinal cord lesion at neck level","female",2010
19.45475,"Assault by firearm","Open wound","female",2010
.8549871,"Assault by firearm","Injured nerves","female",2010
1.20822,"Assault by firearm","Fracture of hand bone","female",2010
.5742416,"Assault by firearm","Severe chest Injury","female",2010
.0020325,"Assault by firearm","Non-fatal submersion","female",2010
3.422718,"Assault by firearm","Fracture of femur, other than femoral neck","female",2010
6.711577,"Assault by firearm","Internal hemorrhage in abdomen or pelvis","female",2010
18.35584,"Assault by firearm","Poisoning","female",2010
.2386625,"Assault by firearm","Burns with <20% total burned surface area","female",2010
9.910806,"Assault by firearm","Fracture of patella, tibia, fibula, or ankle","female",2010
.0399698,"Assault by firearm","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","female",2010
2.163618,"Assault by firearm","Fracture of skull","female",2010
.0973604,"Assault by firearm","Fracture of face bone","female",2010
.1300977,"Assault by firearm","Crush injury","female",2010
3.219411,"Assault by firearm","Contusion","female",2010
3.235168,"Assault by firearm","Moderate to severe traumatic brain injury","female",2010
2.958355,"Assault by firearm","Fracture of neck of femur","female",2010
.3799007,"Assault by firearm","Injury to eyes (including foreign body eye)","female",2010
.1997866,"Assault by firearm","Fracture of clavicle, scapula, or humerus","female",2010
3.283078,"Assault by sharp object","Spinal cord lesion at neck level","female",2010
1.175062,"Assault by sharp object","Minor traumatic brain injury","female",2010
1.136754,"Assault by sharp object","Severe chest Injury","female",2010
52.264,"Assault by sharp object","Open wound","female",2010
.416692,"Assault by sharp object","Crush injury","female",2010
3.330445,"Assault by sharp object","Contusion","female",2010
12.11899,"Assault by sharp object","Complications of medical treatment","female",2010
2.751642,"Assault by sharp object","Fracture of skull","female",2010
1.038749,"Assault by sharp object","Injury to eyes (including foreign body eye)","female",2010
.0652943,"Assault by sharp object","Dislocation of knee","female",2010
3.374336,"Assault by sharp object","Other injuries of muscle & tendon and other dislocations","female",2010
.1708541,"Assault by sharp object","Dislocation of hip","female",2010
1.822574,"Assault by sharp object","Fracture of femur, other than femoral neck","female",2010
3.502814,"Assault by sharp object","Injured nerves","female",2010
.6297547,"Assault by sharp object","Burns with <20% total burned surface area","female",2010
.3372107,"Assault by sharp object","Environmental factors (e.g. temperature, pressure, electricity)","female",2010
.4635935,"Assault by sharp object","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands","female",2010
